dataset,case,method,shots,P_Gauss,P_Gauss_se,wilson_expectation,wilson_expectation_se,gauss_plus_string_acceptance,gauss_plus_wilson_acceptance,imbalance,imbalance_se,gauss_plus_wilson_imbalance,negative_probability_mass,condition_number,max_readout_error,mean_readout_error,physical_qubits_by_classical_bit,expected_P_Gauss,expected_wilson_expectation
static_blindspot,no_error,raw,5000,0.9432,0.0032733395790843322,0.9224,0.005462201753871781,0.921,,,,,,,,,,1.0,1.0
static_blindspot,no_error,readout_mitigated_manifest_symmetric,5000,0.9647943147979972,0.0026063861928524836,0.9312700939668179,0.0051523977347063205,0.9466909166284422,,,,,0.000266752118036277,1.057827989235527,0.009600000000000053,0.006975000000000009,17 9 10 11,1.0,1.0
static_blindspot,gauge_violating,raw,5000,0.0314,0.0024663349326480375,0.9352,0.005008012779536409,0.0232,,,,,,,,,,0.0,1.0
static_blindspot,gauge_violating,readout_mitigated_manifest_symmetric,5000,0.0227798980558289,0.0021100224785719677,0.9443828903864411,0.004650611924152589,0.01458392502476046,,,,,0.00040626933788350135,1.057827989235527,0.009600000000000053,0.006975000000000009,17 9 10 11,0.0,1.0
static_blindspot,gauge_preserving_string,raw,5000,0.939,0.0033846417831138362,-0.9044,0.006034246266104824,0.027,,,,,,,,,,1.0,-1.0
static_blindspot,gauge_preserving_string,readout_mitigated_manifest_symmetric,5000,0.9607248484887948,0.0027470935180651233,-0.9132636496333353,0.005761067718025898,0.023093545843655215,,,,,5.812016345625117e-05,1.057827989235527,0.009600000000000053,0.006975000000000009,17 9 10 11,1.0,-1.0
periodic_readout,Wplus,raw,5000,0.2838,0.0063758538251751035,0.3684,,,0.2288,0.0969,0.008101362724875365,0.1660839160839161,,,,,,,
periodic_readout,Wplus,readout_mitigated_manifest_symmetric,5000,0.3004544438472058,0.006483541794724115,0.3720084822780971,,,0.2437592027819629,0.09867457213014415,0.008145399852832828,0.16759286671607,0.0,1.1697150902189932,0.013700000000000045,0.009693750000000001,32 7 26 33 24 8 10 17,,
periodic_readout,Wminus,raw,5000,0.292,0.006430178846657377,-0.4196,,,0.0564,0.0533,0.008207424809280923,-0.0070921985815602835,,,,,,,
periodic_readout,Wminus,readout_mitigated_manifest_symmetric,5000,0.3094611454138602,0.006537506327232147,-0.4237099868726649,,,0.058332221509354035,0.05404314083441152,0.008254987480046274,-0.010555845251623425,0.0,1.1697150902189932,0.013700000000000045,0.009693750000000001,32 7 26 33 24 8 10 17,,
