candidate,time,dt,trotter_steps,readout_mode,trotter_sector_separation,minimum_state_fidelity,source_qubit_count,source_max_depth,source_max_two_qubit_gate_count,source_measurement_count,depth_reduction_vs_current_joint,two_qubit_reduction_vs_current_joint,two_qubit_reduction_fraction_vs_current_joint,signal_per_two_qubit_gate,signal_gate_passed,fidelity_gate_passed,algorithmic_gate_passed,recommended
"t=0.2,dt=0.2",0.2,0.2,1,joint,0.0,0.9976678334238821,12,80,48,8,58,32,0.4,0.0,False,True,False,False
"t=0.2,dt=0.2",0.2,0.2,1,wilson_matter,0.0,0.9976678334238821,9,79,39,5,59,41,0.5125,0.0,False,True,False,False
"t=0.2,dt=0.2",0.2,0.2,1,matter_only,0.0,0.9976678334238821,8,69,35,4,69,45,0.5625,0.0,False,True,False,False
"t=0.3,dt=0.3",0.3,0.3,1,joint,0.0,0.9886246940496982,12,80,48,8,58,32,0.4,0.0,False,True,False,False
"t=0.3,dt=0.3",0.3,0.3,1,wilson_matter,0.0,0.9886246940496982,9,79,39,5,59,41,0.5125,0.0,False,True,False,False
"t=0.3,dt=0.3",0.3,0.3,1,matter_only,0.0,0.9886246940496982,8,69,35,4,69,45,0.5625,0.0,False,True,False,False
"t=0.4,dt=0.4",0.4,0.4,1,joint,0.0,0.9659512581054461,12,80,48,8,58,32,0.4,0.0,False,True,False,False
"t=0.4,dt=0.4",0.4,0.4,1,wilson_matter,0.0,0.9659512581054461,9,79,39,5,59,41,0.5125,0.0,False,True,False,False
"t=0.4,dt=0.4",0.4,0.4,1,matter_only,0.0,0.9659512581054461,8,69,35,4,69,45,0.5625,0.0,False,True,False,False
"t=0.5,dt=0.5",0.5,0.5,1,joint,0.0,0.9227480350922974,12,80,48,8,58,32,0.4,0.0,False,True,False,False
"t=0.5,dt=0.5",0.5,0.5,1,wilson_matter,0.0,0.9227480350922974,9,79,39,5,59,41,0.5125,0.0,False,True,False,False
"t=0.5,dt=0.5",0.5,0.5,1,matter_only,0.0,0.9227480350922974,8,69,35,4,69,45,0.5625,0.0,False,True,False,False
"t=0.6,dt=0.6",0.6,0.6,1,joint,0.0,0.854169194028225,12,80,48,8,58,32,0.4,0.0,False,True,False,False
