injection_time,qubit,subsystem,local_index,pauli,operator,gauss_syndrome,gauss_detected,wilson_flipped,diagnostic_class,state_fidelity_immediately_after_error,max_abs_imbalance_error_after_injection,time_of_max_error,final_abs_imbalance_error
0.0,0,matter,0,X,IIIIIIIX,1000,True,False,gauss_only,8.643555347962872e-33,1.2172711973516457,2.0,1.2172711973516457
0.0,0,matter,0,Y,IIIIIIIY,1000,True,False,gauss_only,0.0,1.2172711973516455,2.0,1.2172711973516455
0.0,0,matter,0,Z,IIIIIIIZ,0000,False,False,undetected_by_gauss_and_wilson,1.0000000000000004,7.771561172376096e-16,0.125,6.661338147750939e-16
0.0,1,matter,1,X,IIIIIIXI,0100,True,False,gauss_only,1.4015979647634244e-32,1.2172711973516461,2.0,1.2172711973516461
0.0,1,matter,1,Y,IIIIIIYI,0100,True,False,gauss_only,0.0,1.2172711973516461,2.0,1.2172711973516461
0.0,1,matter,1,Z,IIIIIIZI,0000,False,False,undetected_by_gauss_and_wilson,1.0000000000000004,6.661338147750939e-16,2.0,6.661338147750939e-16
0.0,2,matter,2,X,IIIIIXII,0010,True,False,gauss_only,2.1503178062903632e-32,1.2172711973516457,2.0,1.2172711973516457
0.0,2,matter,2,Y,IIIIIYII,0010,True,False,gauss_only,2.158724553212336e-65,1.2172711973516457,2.0,1.2172711973516457
0.0,2,matter,2,Z,IIIIIZII,0000,False,False,undetected_by_gauss_and_wilson,1.0000000000000004,7.771561172376096e-16,0.125,6.661338147750939e-16
0.0,3,matter,3,X,IIIIXIII,0001,True,False,gauss_only,3.315372776538198e-33,1.2172711973516472,2.0,1.2172711973516472
0.0,3,matter,3,Y,IIIIYIII,0001,True,False,gauss_only,1.4092792255693767e-65,1.2172711973516472,2.0,1.2172711973516472
0.0,3,matter,3,Z,IIIIZIII,0000,False,False,undetected_by_gauss_and_wilson,1.0000000000000004,6.661338147750939e-16,0.125,4.440892098500626e-16
0.0,4,link,0,X,IIIXIIII,1100,True,False,gauss_only,8.690758874047452e-33,1.3322676295501878e-15,0.125,8.881784197001252e-16
0.0,4,link,0,Y,IIIYIIII,1100,True,True,gauss_and_wilson,7.456158558434335e-66,1.4800584050526302,1.875,1.4522444895253515
0.0,4,link,0,Z,IIIZIIII,0000,False,True,wilson_only,1.142340848513803e-30,1.4800584050526306,1.875,1.4522444895253517
0.0,5,link,1,X,IIXIIIII,0110,True,False,gauss_only,2.9929553188885244e-31,2.3314683517128287e-15,1.625,2.1094237467877974e-15
0.0,5,link,1,Y,IIYIIIII,0110,True,True,gauss_and_wilson,4.759853481509675e-64,1.4800584050526322,1.875,1.4522444895253535
0.0,5,link,1,Z,IIZIIIII,0000,False,True,wilson_only,1.142340848513803e-30,1.4800584050526306,1.875,1.452244489525352
0.0,6,link,2,X,IXIIIIII,0011,True,False,gauss_only,4.992010415851716e-31,1.1102230246251565e-15,0.125,8.881784197001252e-16
0.0,6,link,2,Y,IYIIIIII,0011,True,True,gauss_and_wilson,1.5100545029155348e-64,1.4800584050526306,1.875,1.452244489525352
0.0,6,link,2,Z,IZIIIIII,0000,False,True,wilson_only,1.142340848513803e-30,1.4800584050526306,1.875,1.4522444895253517
0.0,7,link,3,X,XIIIIIII,1001,True,False,gauss_only,3.851859888774479e-32,9.992007221626409e-16,2.0,9.992007221626409e-16
0.0,7,link,3,Y,YIIIIIII,1001,True,True,gauss_and_wilson,1.0112188334881504e-63,1.4800584050526298,1.875,1.452244489525351
0.0,7,link,3,Z,ZIIIIIII,0000,False,True,wilson_only,1.1423408485138025e-30,1.4800584050526306,1.875,1.4522444895253517
0.25,0,matter,0,X,IIIIIIIX,1000,True,False,gauss_only,8.229207001756234e-33,1.217781459095368,2.0,1.217781459095368
0.25,0,matter,0,Y,IIIIIIIY,1000,True,False,gauss_only,4.4589728439909153e-35,1.217781459095368,2.0,1.217781459095368
0.25,0,matter,0,Z,IIIIIIIZ,0000,False,False,undetected_by_gauss_and_wilson,0.7757216341764755,0.3763581090447802,1.75,0.2925388580165833
0.25,1,matter,1,X,IIIIIIXI,0100,True,False,gauss_only,8.642052975248314e-33,1.217781459095368,2.0,1.217781459095368
0.25,1,matter,1,Y,IIIIIIYI,0100,True,False,gauss_only,5.810506236773039e-33,1.2177814590953677,2.0,1.2177814590953677
0.25,1,matter,1,Z,IIIIIIZI,0000,False,False,undetected_by_gauss_and_wilson,0.775721634176475,0.3763581090447804,1.75,0.2925388580165831
0.25,2,matter,2,X,IIIIIXII,0010,True,False,gauss_only,2.4222124173114114e-32,1.2177814590953675,2.0,1.2177814590953675
0.25,2,matter,2,Y,IIIIIYII,0010,True,False,gauss_only,1.0203287703729895e-33,1.2177814590953673,2.0,1.2177814590953673
0.25,2,matter,2,Z,IIIIIZII,0000,False,False,undetected_by_gauss_and_wilson,0.7757216341764752,0.3763581090447803,1.75,0.29253885801658286
