qubit,subsystem,local_index,pauli,operator,gauss_syndrome,gauss_detected,wilson_flipped,wilson_sector_after_error,diagnostic_class,initial_state_fidelity_after_error,max_abs_imbalance_error,time_of_max_error,mean_abs_imbalance_error
0,matter,0,X,IIIIIIIX,1000,True,False,1,gauss_only,0.0,1.2172711973516455,2.0,0.5840302975353328
0,matter,0,Y,IIIIIIIY,1000,True,False,1,gauss_only,0.0,1.2172711973516455,2.0,0.5840302975353328
0,matter,0,Z,IIIIIIIZ,0000,False,False,1,undetected_by_gauss_and_wilson,0.9999999999999996,0.0,0.0,0.0
1,matter,1,X,IIIIIIXI,0100,True,False,1,gauss_only,0.0,1.217271197351646,2.0,0.5840302975353326
1,matter,1,Y,IIIIIIYI,0100,True,False,1,gauss_only,0.0,1.217271197351646,2.0,0.5840302975353326
1,matter,1,Z,IIIIIIZI,0000,False,False,1,undetected_by_gauss_and_wilson,0.9999999999999996,0.0,0.0,0.0
2,matter,2,X,IIIIIXII,0010,True,False,1,gauss_only,0.0,1.2172711973516455,2.0,0.5840302975353326
2,matter,2,Y,IIIIIYII,0010,True,False,1,gauss_only,0.0,1.2172711973516455,2.0,0.5840302975353326
2,matter,2,Z,IIIIIZII,0000,False,False,1,undetected_by_gauss_and_wilson,0.9999999999999996,0.0,0.0,0.0
3,matter,3,X,IIIIXIII,0001,True,False,1,gauss_only,0.0,1.2172711973516472,2.0,0.5840302975353328
3,matter,3,Y,IIIIYIII,0001,True,False,1,gauss_only,0.0,1.2172711973516472,2.0,0.5840302975353328
3,matter,3,Z,IIIIZIII,0000,False,False,1,undetected_by_gauss_and_wilson,0.9999999999999996,0.0,0.0,0.0
4,link,0,X,IIIXIIII,1100,True,False,1,gauss_only,0.0,7.771561172376096e-16,0.125,3.885780586188048e-16
4,link,0,Y,IIIYIIII,1100,True,True,-1,gauss_and_wilson,0.0,1.4800584050526298,1.875,0.6061330286337494
4,link,0,Z,IIIZIIII,0000,False,True,-1,wilson_only,5.004680467665246e-34,1.4800584050526306,1.875,0.60613302863375
5,link,1,X,IIXIIIII,0110,True,False,1,gauss_only,0.0,1.887379141862766e-15,1.75,1.040017745126801e-15
5,link,1,Y,IIYIIIII,0110,True,True,-1,gauss_and_wilson,0.0,1.480058405052632,1.875,0.6061330286337498
5,link,1,Z,IIZIIIII,0000,False,True,-1,wilson_only,5.004680467665246e-34,1.4800584050526306,1.875,0.60613302863375
6,link,2,X,IXIIIIII,0011,True,False,1,gauss_only,0.0,6.661338147750939e-16,0.625,3.2816886463184776e-16
6,link,2,Y,IYIIIIII,0011,True,True,-1,gauss_and_wilson,0.0,1.4800584050526306,1.875,0.6061330286337497
6,link,2,Z,IZIIIIII,0000,False,True,-1,wilson_only,5.004680467665246e-34,1.4800584050526306,1.875,0.60613302863375
7,link,3,X,XIIIIIII,1001,True,False,1,gauss_only,0.0,5.551115123125783e-16,1.625,2.4163677594782817e-16
7,link,3,Y,YIIIIIII,1001,True,True,-1,gauss_and_wilson,0.0,1.4800584050526298,1.875,0.6061330286337495
7,link,3,Z,ZIIIIIII,0000,False,True,-1,wilson_only,5.004680467665246e-34,1.4800584050526306,1.875,0.60613302863375
